Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
235015,Airplane,KANSAS CITY INTL,> 1000 ft,B-717-200,2 to 10,6,None,12/13/2004 0:00,Caused damage,2,MIDWEST AIRLINES,Missouri,Descent,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 981. DMG TO LEADING AND JUST BELOW L WING. 2 PARTS DAMAGED. SEE PHOTOS.  WING PUNCTURED. NO COSTS AVAILABLE FROM AIRLINE. THEY DO NOT TRACK THEM.",Large,No Cloud,Snow goose,N,0,"9,000",0,No
233098,Airplane,MINETA SAN JOSE INTL,< 1000 ft,B-737-800,2 to 10,5,None,12/16/2004 0:00,No damage,2,CONTINENTAL AIRLINES,California,Take-off run,None,TRUE,FALSE,"SML BROWN SPOTTED BODY WITH YELLOW CHEST. AT ROTATION, A FLOCK OF BIRDS FLEW ACROSS OUR PATH. FLT CREW REPTD TO ATC.",Small,No Cloud,Unknown bird - small,N,0,0,0,Yes
229037,Airplane,LOS ANGELES INTL,< 1000 ft,MD-82,2 to 10,7,None,12/18/2004 0:00,No damage,2,AMERICAN AIRLINES,California,Climb,None,TRUE,FALSE,AIRLINE REPTD MULTIPLE GULL STRIKE ON L AND RT SIDE OF LWR FUSELAGE AND RT WING AREA W/O DMG.,Medium,No Cloud,Western gull,N,0,500,0,No
230395,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,2 to 10,7,None,12/18/2004 0:00,No damage,2,ALASKA AIRLINES,California,Approach,Fog,TRUE,TRUE,HIT SEVERAL WATERFOWL ON FINAL APCH. AT LEAST 1 WAS INGESTED IN #1 ENG. MX INSPCTNG. UNKN IF DMG.,Medium,No Cloud,Northern pintail,Y,0,600,0,Yes
238165,Airplane,ST. LUCIE COUNTY INTL ARPT,< 1000 ft,BE-76  DUCHESS,2 to 10,5,Aborted Take-off,12/21/2004 0:00,No damage,2,BUSINESS,Florida,Take-off run,None,FALSE,FALSE,NO DMG,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
226462,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-300,2 to 10,2,None,12/25/2004 0:00,No damage,2,US AIRWAYS*,Florida,Take-off run,Rain,FALSE,FALSE,BIRDSTRIKE REPTD BY CREW ON TAKE OFF RUN. PILOT STATED NO DMG. CONTD FLT. ARPT OPS FOUND 4 CARCASSES ON RWY. (DISPATCH FILED A SIMILAR REPORT BUT SAID BIRDS WERE SEEN AT 600' AGL),Small,Overcast,Tree swallow,Y,0,0,0,Yes
229514,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-300,2 to 10,4,None,1/1/2005 0:00,Caused damage,2,SOUTHWEST AIRLINES,California,Approach,None,TRUE,TRUE,RADAR WAS ON. MULTI FAN BLADES SHINGLED AND DMG TO OIL COOLER. ENG REMOVED. ID BY SMITHSONIAN FAA 985. (DAILY REPORT FROM TWR SAID DMG UNKN),Large,Some Cloud,Greater white-fronted goose,Y,"117,135",500,0,Yes
227284,Airplane,MEACHAM FT WORTH,< 1000 ft,CITATION X,2 to 10,8,None,1/5/2005 0:00,No damage,2,EXECUTIVE JET AVIATION,Texas,Approach,"Fog, Rain",FALSE,FALSE,NO DMG,Small,Overcast,European starling,N,0,100,0,No
229500,Airplane,ONTARIO INTL ARPT,< 1000 ft,B-737-300,2 to 10,10,None,1/5/2005 0:00,No damage,2,SOUTHWEST AIRLINES,California,Climb,None,FALSE,FALSE,,Small,Some Cloud,Unknown bird - small,N,0,700,0,Yes
223749,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-717-200,2 to 10,6,Aborted Take-off,1/6/2005 0:00,No damage,2,AIRTRAN AIRWAYS,Florida,Take-off run,None,TRUE,FALSE,PILOT REPTD STRIKING 10-15 SML BIRDS ON T/O. ABORTED T/O FOR MX CHECK. BIRDS FLEW IN FRONT OF A/C DURING T/O. (PILOT REPTD BIRDS AS SWALLOWS),Small,Overcast,Least sandpiper,Y,0,0,0,No
227233,Airplane,DENVER INTL AIRPORT,< 1000 ft,MD-83,2 to 10,7,None,1/7/2005 0:00,No damage,2,ALASKA AIRLINES,Colorado,Approach,None,FALSE,FALSE,"FLOCK OF ABOUT 15 BIRDS TOOK FLT FROM RT SIDE OF RWY AND FLEW ACROSS OUR PATH W TO E. WE SAW THEM AT ABOUT 50 FT AND HEARD IMPACT 2 SECONDS LATER AT T/D. 1 DEFINITE HIT RT OTBD FLAP, 1 PROBABLY JUST ABOVE CO'P'S WINDOW. NO DMG. WS THINKS THEY WERE PROBABL",Small,No Cloud,Unknown bird - small,N,0,35,0,No
234299,Airplane,BUSH FLD,< 1000 ft,DHC8 DASH 8,2 to 10,9,None,1/9/2005 0:00,No damage,2,PIEDMONT AIRLINES,Georgia,Approach,None,FALSE,FALSE,NO DMG,Small,No Cloud,Unknown bird - small,N,0,200,0,No
